Word;Occurences;Themes
played;2946;
storm;2937;
screaming;2934;sadness pain
chick;2933;
momma;2918;
pride;2917;confidence
silence;2897;pain
songs;2887;passion
blues;2886;
hanging;2884;
dress;2881;
neck;2880;
playin;2880;
cars;2860;
snow;2848;
clock;2847;
survive;2846;
everytime;2841;
games;2837;
fame;2822;hope
begin;2816;
fact;2814;
forgive;2808;
tree;2806;
sunshine;2805;happiness love hope
realize;2803;
died;2802;pain
edge;2802;
lucky;2797;hapiness
instead;2791;
human;2785;serenity hope
homie;2779;
angels;2775;serenity love
turns;2775;
hour;2774;confusion
harder;2767;pain
bottom;2765;sadness pain
poor;2763;
whenever;2757;
learned;2749;confidence
kept;2747;
sleeping;2733;
wave;2733;
wayne;2732;
case;2725;
murder;2725;pain sadness
booty;2722;
dollar;2720;hope
driving;2717;
bought;2715;
sell;2715;
steal;2715;
memory;2712;pain
stronger;2712;confidence
figure;2707;
places;2703;
cover;2696;
twice;2696;
anywhere;2690;confidence love
dawn;2683;
tongue;2683;
wife;2679;hapiness
clap;2677;
awake;2671;
haven;2666;
movin;2665;
weed;2664;
ends;2661;
searching;2655;confusion hope
news;2646;
rules;2643;
guns;2642;
shorty;2638;love
trip;2635;hope
boss;2634;confident
price;2632;confusion
dogg;2631;
starts;2630;hope
takin;2625;
thang;2621;
state;2611;
ghost;2607;confusion pain
rule;2607;
held;2604;
slowly;2603;serenity
handle;2596;
bones;2595;
escape;2595;
flying;2585;serenity hope love
weak;2585;anger pain
dumb;2579;anger pain
lines;2579;
later;2572;
intro;2570;
diamond;2568;
deserve;2564;love
bigger;2562;hope
quit;2551;confidence
luck;2550;
happened;2542;
quite;2536;
lock;2534;
wherever;2534;
evil;2533;sadness pain
sweat;2532;happiness love hope
dust;2530;
chest;2529;mad pain
least;2529;
pieces;2527;
lovers;2525;happiness love hope
brought;2510;
haters;2510;pain
shadows;2508;
asked;2503;
lift;2494;
mary;2494;happiness hope
gangsta;2493;
locked;2493;sadness
grown;2490;
html;2490;
spent;2487;
build;2486;
poppin;2483;
deny;2482;fear
hoping;2480;
bleed;2479;pain
wont;2472;
walkin;2465;
prove;2461;
knowing;2454;
taken;2451;
favorite;2445;
cake;2442;
trees;2442;
faces;2441;
sugar;2439;happiness love hope
yellow;2437;
question;2435;
holy;2431;serenity
rhythm;2429;
ghetto;2428;
dirt;2424;
nine;2424;
asking;2421;
south;2415;
cried;2413;
paradise;2412;
bomb;2410;
chains;2407;
girlfriend;2407;passion love
slip;2407;
smell;2405;
band;2398;
explain;2398;
beauty;2396;
flame;2396;passion
sister;2381;serenity love
shadow;2380;
finger;2374;
winter;2370;
desire;2369;
week;2368;sadness pain
riding;2365;
team;2364;happiness hope
problems;2357;pain sadness
guitar;2356;
beside;2350;
guys;2347;
naked;2346;passion anger
seven;2341;
wasted;2337;pain anger
fingers;2336;
beyond;2334;
moves;2334;passion
skies;2331;serenity
bass;2325;
crime;2318;pain anger
hours;2315;
movie;2315;serenity
stuff;2307;confusion
stare;2306;
snoop;2294;
record;2292;
woke;2288;
tough;2285;pain sadness
chase;2284;
midnight;2283;
short;2280;
respect;2276;
golden;2272;
given;2271;
ridin;2268;
attention;2266;
beats;2254;love passion
mistakes;2246;
bone;2241;
letting;2241;
grind;2231;
waitin;2231;
holla;2230;
laughing;2228;
solo;2222;
breathing;2221;
stranger;2218;
view;2216;
silver;2201;
jack;2197;
switch;2196;
mistake;2194;pain anger
sand;2193;
minds;2185;
country;2183;
rush;2182;
dare;2180;
leaves;2178;
race;2170;
falls;2165;
weight;2164;
seeing;2157;
proud;2155;confidence
shall;2155;confidence
paint;2153;
