Word;Occurences;Themes
belong;4356;passion
looks;4354;passion
sexy;4352;passion love
faith;4341;hope
green;4339;hope
style;4323;serenity
clothes;4309;
ways;4308;hope
lead;4299;confidence
ball;4287;
outta;4274;
cash;4272;happiness
shoot;4263;pain sadness fear
rich;4233;hope serenity happiness
cannot;4217;
dear;4214;love
against;4209;pain anger
hang;4207;passion hope
river;4181;
thats;4166;
rather;4150;
changed;4149;confusion
anyone;4139;confusion
middle;4138;
thousand;4137;
heat;4129;passion
waste;4112;
brain;4091;confidence confusion
lovin;4086;happiness love hope
children;4074;serenity hope
thinkin;4062;hope
laugh;4038;happiness
brother;4037;serenity hope love
paper;4029;
train;4029;
radio;4010;
window;4006;hope
oooh;4001;happiness
shout;3995;pain sadness happiness
father;3994;love passion
single;3991;
devil;3986;sadness madness
ahead;3984;
needs;3947;love pain
mess;3944;pain anger
family;3935;serenity hope
dreaming;3892;serenity hope
darling;3874;love passion
turning;3874;happiness confusion
knock;3861;passion
hundred;3859;
sign;3856;passion hope
near;3852;passion
women;3851;love serenity
treat;3838;serenity
shame;3837;sadness fear
shoes;3836;
simple;3816;
wear;3809;
magic;3802;happiness love hope
pretend;3802;confusion
less;3793;
doubt;3781;confusion
which;3780;
cant;3773;
sayin;3769;
hurts;3766;pain
walls;3764;sadness
missing;3736;sadness
piece;3725;serenity hope love
kinda;3719;
means;3713;hope
stick;3711;
point;3687;
fake;3685;sadness anger
lyrics;3683;
dying;3682;sadness fear anger
queen;3678;love
feelings;3669;passion happiness sadness confusion
wide;3669;hope
yesterday;3669;
write;3657;confidence
lets;3649;
share;3646;love
miles;3628;
funny;3627;happiness confusion
cross;3622;
imma;3577;
mirror;3575;sadness happiness
strange;3575;confusion
track;3573;hope
anyway;3561;confidence
answer;3558;confusion
makin;3557;
fill;3555;love sadness happiness
safe;3548;serenity hope
shining;3528;hope
stupid;3520;anger
become;3515;hope
special;3493;passion love
wine;3484;happiness
someday;3477;hope
type;3475;confusion
count;3466;sadness
sight;3465;happiness passion
fresh;3462;
west;3458;
looked;3457;
working;3457;
freak;3452;madness
happen;3450;
walked;3440;serenity
glass;3434;happiness
anybody;3427;confidence
stone;3422;
memories;3419;sadness happiness
crowd;3402;
almost;3397;hope
warm;3395;passion love
brand;3377;
clean;3373;serenity
fucked;3372;anger pain
probably;3371;confidence
thoughts;3355;confusion
corner;3348;
lying;3332;pain sadness
killing;3331;sadness pain anger
crack;3329;pain
longer;3320;
rolling;3310;
deal;3309;confidence
couple;3284;love hope
problem;3279;pain sadness
welcome;3278;serenity love
somehow;3261;confusion
secret;3243;
sense;3236;passion
none;3233;
york;3216;
having;3207;
shots;3188;pain fear
chain;3187;fear sadness
hole;3184;sadness pain
sitting;3179;serenity
supposed;3179;confusion
choose;3170;confusion confidence
fighting;3167;anger passion pain
grab;3166;love
brown;3164;
heavy;3163;sadness confidence
clouds;3158;serenity sadness
double;3156;
ocean;3145;serenity
needed;3143;sadness
loose;3140;anger sadness
darkness;3138;sadness fear
insane;3120;passion
drunk;3119;confusion
bounce;3115;hope
diamonds;3113;hope love
quick;3112;
dope;3106;happiness pain
jesus;3106;serenity hope
bottle;3090;happiness
wings;3064;hope
small;3062;
spot;3060;
paid;3050;happiness
bust;3048;passion
super;3038;happiness
scene;3024;
within;3009;
freedom;2990;happiness hope
rockin;2986;
rollin;2983;
spit;2983;fear anger
motherfucker;2976;anger
whip;2975;pain
business;2973;happiness
self;2970;sadness
plan;2966;confidence
glad;2958;happiness confidence
bird;2947;hope love
raise;2947;hope
played;2946;happiness sadness
storm;2937;confusion anger
screaming;2934;sadness pain
chick;2933;passion
momma;2918;love
pride;2917;confidence happiness
silence;2897;pain
songs;2887;passion
blues;2886;
hanging;2884;
dress;2881;passion
neck;2880;passion
playin;2880;happiness passion
cars;2860;
snow;2848;
clock;2847;
survive;2846;hope fear
everytime;2841;
games;2837;happiness passion
fame;2822;hope confidence
begin;2816;hope
fact;2814;
forgive;2808;love
tree;2806;
sunshine;2805;happiness love hope
realize;2803;sadness
died;2802;pain sadness
edge;2802;
lucky;2797;happiness hope
instead;2791;
human;2785;serenity hope
homie;2779;love
angels;2775;serenity love
turns;2775;
hour;2774;confusion
harder;2767;pain
bottom;2765;sadness pain
poor;2763;sadness
whenever;2757;
learned;2749;confidence
kept;2747;
sleeping;2733;serenity
wave;2733;serenity
wayne;2732;
case;2725;
murder;2725;pain sadness
booty;2722;passion
dollar;2720;hope happiness
driving;2717;confidence
bought;2715;happiness
sell;2715;
steal;2715;sadness anger
memory;2712;pain sadness happiness
stronger;2712;confidence
figure;2707;
places;2703;
cover;2696;
twice;2696;
anywhere;2690;confidence love
dawn;2683;
tongue;2683;passion
wife;2679;happiness love passion
clap;2677;
awake;2671;
haven;2666;hope happiness serenity
movin;2665;happiness
weed;2664;
ends;2661;sadness
searching;2655;confusion hope
news;2646;hope
rules;2643;confidence
guns;2642;anger
shorty;2638;love
trip;2635;hope happiness
boss;2634;confidence
price;2632;confusion
dogg;2631;
starts;2630;hope
takin;2625;
thang;2621;
state;2611;
ghost;2607;confusion pain fear
rule;2607;confidence
held;2604;fear
slowly;2603;serenity
handle;2596;
bones;2595;
escape;2595;fear sadness hope
flying;2585;serenity hope love
weak;2585;anger pain madness
dumb;2579;anger pain madness
lines;2579;
later;2572;hope
intro;2570;
diamond;2568;
deserve;2564;love
bigger;2562;hope love
quit;2551;confidence
luck;2550;hope happiness
happened;2542;
quite;2536;
lock;2534;
wherever;2534;hope
evil;2533;sadness pain
sweat;2532;happiness love hope
dust;2530;
chest;2529;madness pain
least;2529;
pieces;2527;sadness
lovers;2525;happiness love hope
brought;2510;confusion
haters;2510;pain anger
shadows;2508;fear confusion
asked;2503;confusion
lift;2494;
mary;2494;happiness hope
gangsta;2493;anger
locked;2493;sadness
grown;2490;
html;2490;
spent;2487;
build;2486;hope
poppin;2483;pain
deny;2482;fear anger
hoping;2480;hope
bleed;2479;pain sadness
wont;2472;
walkin;2465;serenity
prove;2461;confidence
knowing;2454;
taken;2451;
favorite;2445;passion love
cake;2442;happiness
trees;2442;serenity
faces;2441;passion
sugar;2439;happiness love hope
yellow;2437;
question;2435;confusion
holy;2431;serenity hope
rhythm;2429;happiness
ghetto;2428;anger
dirt;2424;
nine;2424;
asking;2421;confusion
south;2415;
cried;2413;
paradise;2412;hope
bomb;2410;passion love pain
chains;2407;fear sadness
girlfriend;2407;passion love
slip;2407;
smell;2405;passion
band;2398;love
explain;2398;confidence confusion
beauty;2396;love passion
flame;2396;passion love
sister;2381;serenity love
shadow;2380;fear confusion
finger;2374;passion
winter;2370;passion
desire;2369;passion love
week;2368;sadness pain
riding;2365;
team;2364;happiness hope love
problems;2357;pain sadness
guitar;2356;happiness
beside;2350;love passion
guys;2347;love
naked;2346;passion anger
seven;2341;
wasted;2337;pain anger
fingers;2336;passion
beyond;2334;hope
moves;2334;passion
skies;2331;serenity hope
bass;2325;
crime;2318;pain anger
hours;2315;
movie;2315;serenity
stuff;2307;confusion
stare;2306;
snoop;2294;confusion
record;2292;
woke;2288;hope
tough;2285;pain sadness
chase;2284;pain fear
midnight;2283;
short;2280;
respect;2276;confidence
golden;2272;happiness passion
given;2271;
ridin;2268;happiness passion
attention;2266;love
beats;2254;love passion pain
mistakes;2246;confusion
bone;2241;
letting;2241;
grind;2231;pain
waitin;2231;confusion
holla;2230;happiness love
laughing;2228;happiness
solo;2222;fear sadness
breathing;2221;hope confidence
stranger;2218;confusion
view;2216;
silver;2201;
jack;2197;
switch;2196;
mistake;2194;pain anger sadness
sand;2193;sadness
minds;2185;confidence
country;2183;love hope
rush;2182;confusion
dare;2180;confidence
leaves;2178;sadness
race;2170;hope confidence
falls;2165;pain sadness
weight;2164;
seeing;2157;
proud;2155;confidence
shall;2155;confidence hope
paint;2153;
mountain;2143;hope
pack;2141;
feed;2130;happiness
sounds;2129;
sold;2127;
ohhh;2124;happiness
spin;2124;happiness confusion
strength;2121;confidence
underneath;2116;anger
fate;2114;serenity hope
imagine;2109;hope
crew;2108;love passion
spinning;2107;confusion
worst;2104;sadness pain
seat;2091;
stage;2089;
filled;2088;
zone;2088;
bottles;2084;happiness
twenty;2083;
gang;2081;anger
john;2081;
acting;2076;hope confidence
faster;2075;passion
rhyme;2075;passion happiness
beating;2069;happiness love passion pain anger
sunday;2069;happiness
book;2065;
plus;2064;
thug;2056;anger
speed;2052;
changing;2049;hope confidence
lick;2048;passion
early;2038;hope
fallin;2034;pain sadness
bite;2033;pain passion
flip;2033;
sittin;2029;
keeping;2027;
glory;2024;happiness passion
gucci;2024;happiness passion
staring;2016;confusion
tellin;2015;
santa;2013;
lately;2012;
shoulder;2006;passion
pocket;2004;
history;1999;
happens;1997;
mercy;1993;hope
keys;1990;hope
wondering;1989;confusion
thunder;1988;fear sadness anger
soft;1987;
chasing;1980;fear
fair;1978;confidence
wrote;1978;
candy;1976;happiness passion
written;1972;
machine;1969;
return;1969;
shouldn;1967;confusion
callin;1958;hope love
worse;1958;pain
sorrow;1956;sadness
jeans;1953;
pictures;1942;hope passion
bump;1939;pain
doctor;1939;pain
regret;1938;sadness pain
weather;1937;
